,setup,map_id,smoke_level,trial_index,rmse,rmse_scale,hallucination_count,hallucination_count_total,hallucination_percent,undetected_count,undetected_count_total,undetected_percent,num_clusters,number_disparity,latency_fusion,latency_inference
161,FUSION,6,0,14,0.3483523942398618,22.106194889077234,6407,28829,0.22224149294113565,3797,32357,0.11734709645517198,68,272544,0.38106709258391125,0.30491432353925024
162,FUSION,6,0,2,0.2048176124856017,15.143008512218055,26,649,0.040061633281972264,29867,32357,0.9230460178632135,5,272765,0.3824988938942107,0.30520089801392036
163,FUSION,6,0,6,0.36441534894756683,19.96237645139174,7016,29058,0.24144813820634592,4460,32357,0.1378372531446055,65,272283,0.37831090005332624,0.3047750251127942
164,FUSION,6,0,0,0.39149212956263063,13.196854461979052,4729,18999,0.24890783725459234,14001,32357,0.4327038971474488,55,272399,0.36832906344290556,0.3049184224684907
165,FUSION,6,3,1,0.4178320844250235,16.43294862511134,7889,25269,0.3122007202501088,5290,32357,0.16348858052353432,50,154973,0.32619108188359325,0.30460586427133296
166,FUSION,6,3,6,0.42552091738897824,21.163279243883814,8116,25571,0.31739079425912164,4790,32357,0.14803597366875793,37,154723,0.3305696997841114,0.30414011618781117
167,FUSION,6,3,3,0.42093156333230086,18.407187116100765,7556,24361,0.3101678913016707,5292,32357,0.16355039095095342,50,154374,0.3314953397616141,0.3048014078990068
168,FUSION,6,3,13,0.4347427920530348,19.207634866955633,8058,24291,0.3317278004199086,5642,32357,0.1743672157492969,34,155345,0.326399410852848,0.30417440069522783
169,FUSION,6,3,14,0.4273281719553096,13.723670986572232,8425,24454,0.3445244131839372,5098,32357,0.15755477949130017,45,155499,0.328464954989762,0.3041455366073602
170,FUSION,6,3,4,0.41793260149677014,17.264548661125026,7142,23292,0.3066288854542332,5599,32357,0.17303829155978614,61,155033,0.3284977180450023,0.3047775889859341
171,FUSION,6,3,5,0.41570937991824425,11.777682018438611,7415,24543,0.3021228048730799,5618,32357,0.17362549062026764,47,155163,0.3282342234654213,0.3047953462751725
172,FUSION,6,3,8,0.4217571726361696,15.390281262641299,6371,21648,0.29429970436068,5318,32357,0.1643539265074018,51,154641,0.3292987861625143,0.3039006786858475
173,FUSION,6,3,7,0.4281611719484906,14.891743791032036,7915,24737,0.3199660427699398,5472,32357,0.16911332941867294,43,155947,0.3323570644299601,0.30480461335805137
